#time,accel_x,accel_y,accel_z
41.334927,57.427742,325.423874,-9896.714274
41.337477,114.855485,248.853550,-9858.429112
41.340027,-19.142581,363.709035,-9839.286531
41.342577,306.281293,325.423874,-9896.714274
41.345127,-153.140646,382.851616,-9781.858789
41.347677,-76.570323,306.281293,-9954.142016
41.350228,-191.425808,363.709035,-9839.286531
41.352778,478.564520,574.277424,-9724.431046
41.355328,-401.994197,248.853550,-9801.001370
41.357878,1588.834206,1091.127106,-9513.862658
41.360428,0.000000,746.560651,-10241.280728
41.362978,2067.398726,823.130974,-9934.999435
41.365528,-1971.685822,1856.830338,-9705.288466
41.368078,803.988394,1454.836141,-9609.575562
41.370628,497.707101,918.843878,-9762.716208
41.373178,995.414202,401.994197,-9896.714274
41.375728,1646.261949,1244.267752,-9724.431046
41.378281,-1837.687757,1052.841944,-10260.423309
41.380834,-191.425808,1359.123237,-9513.862658
41.383387,1052.841944,2067.398726,-9399.007173
41.385940,-306.281293,-172.283227,-10317.851051
41.388493,-1205.982590,-995.414202,-10470.991698
41.391045,-823.130974,650.847747,-8882.157491
41.393598,2086.541307,1990.828403,-9724.431046
41.396151,421.136778,880.558717,-10719.845248
41.398704,-2201.396792,-1741.974853,-10088.140082
41.401257,-2928.814862,191.425808,-8748.159426
41.403810,689.132909,1971.685822,-9877.571693
41.406363,516.849682,440.279358,-10088.140082
41.408916,-421.136778,191.425808,-9877.571693
41.411469,-2297.109696,-172.283227,-10068.997501
41.414022,612.562586,995.414202,-9858.429112
41.416575,1033.699363,-114.855485,-9724.431046
41.419128,555.134843,-19.142581,-9934.999435
41.421681,-19.142581,133.998066,-10451.849117
41.424234,-363.709035,937.986459,-9207.581365
41.426786,-842.273555,-287.138712,-9781.858789
41.429339,-267.996131,1129.412267,-9437.292334
41.431892,-344.566454,-267.996131,-10088.140082
41.434445,0.000000,823.130974,-9360.722011
41.436998,-593.420005,-1301.695494,-10585.847182
41.439551,-1531.406464,-650.847747,-9992.427178
41.442104,-593.420005,38.285162,-9399.007173
41.444657,229.710970,-957.129040,-10126.425243
41.447210,497.707101,1014.556782,-10049.854920
41.449763,650.847747,440.279358,-10088.140082
41.452316,689.132909,-803.988394,-9858.429112
41.454869,-1531.406464,114.855485,-10202.995566
41.457422,-2258.824534,-19.142581,-9839.286531
41.459975,1646.261949,1856.830338,-8671.589102
41.462527,-2431.107762,708.275490,-11102.696864
41.465080,3560.520029,1244.267752,-9667.003304
41.467633,-1148.554848,-3349.951640,-9839.286531
41.470186,-4479.363907,765.703232,-9303.294269
41.472739,3809.373579,5551.348432,-9399.007173
