#time,accel_x,accel_y,accel_z
206.620862,3404.947333,-2072.576638,-85649.476676
206.623435,-2960.823768,22798.343014,-75077.358804
206.626008,-3256.906145,6069.688724,-73545.167808
206.628582,-2812.782580,9178.553681,-79367.493593
206.631155,20429.683999,4737.318029,-76915.987999
206.633728,-41007.409187,4589.276840,-85496.257577
206.636302,41303.491564,6069.688724,-69561.471218
206.638876,-43228.027013,3404.947333,-93310.431656
206.641449,79498.118171,10214.842000,-64964.898230
206.644023,-67358.740722,14508.036463,-83351.190182
206.646597,65434.205273,6661.853478,-61747.297139
206.649171,-30940.608376,-1776.494261,-85649.476676
206.651744,77721.623910,-7698.141797,-65118.117330
206.654318,-22206.178260,-4441.235652,-84117.285680
206.656892,25759.166782,20577.725188,-62973.049936
206.659465,148.041188,-8142.265362,-80899.684589
206.662039,9474.636058,-296.082377,-77222.426198
206.664613,20873.807564,-1776.494261,-71400.100414
206.667186,-7402.059420,-1332.370696,-74311.263306
206.669760,17468.860231,6217.729913,-80746.465489
206.672334,-5921.647536,-4441.235652,-90246.049664
206.674907,12139.377449,5181.441594,-73085.510509
206.677481,-6957.935855,1036.288319,-75230.577904
206.680055,11991.336260,1036.288319,-83657.628382
206.682628,-1776.494261,1036.288319,-79980.369991
206.685202,7402.059420,2516.700203,-73851.606007
206.687776,-148.041188,2664.741391,-80286.808190
206.690350,2072.576638,1924.535449,-79673.931792
206.692923,148.041188,4737.318029,-75996.673402
206.695497,8734.430116,-1480.411884,-80899.684589
206.698071,8734.430116,-3997.112087,-79827.150892
206.700644,12139.377449,-6217.729913,-77835.302597
206.703218,2072.576638,4589.276840,-78907.836294
206.705792,-4589.276840,5181.441594,-80899.684589
206.708365,6513.812290,5181.441594,-75996.673402
206.710939,10214.842000,-8586.388927,-82891.532884
206.713513,13175.665768,-3404.947333,-83504.409282
206.716086,-1036.288319,20281.642811,-73545.167808
206.718660,-148.041188,2220.617826,-73085.510509
206.721234,17024.736666,-7698.141797,-77835.302597
206.723807,-2664.741391,4589.276840,-83964.066581
206.726381,11843.295072,-2516.700203,-75077.358804
206.728955,-9474.636058,148.041188,-82738.313784
206.731529,26647.413912,2516.700203,-70634.004916
206.734102,-44856.480085,3997.112087,-81359.341888
206.736676,47669.262665,7846.182985,-74464.482406
206.739249,-39526.997303,7550.100608,-89020.296868
206.741822,45004.521274,-14359.995275,-72625.853210
206.744396,-34789.679274,-3552.988522,-88407.420469
206.746969,-2664.741391,30792.567187,-74770.920605
206.749542,-26647.413912,11399.171507,-81972.218286
206.752115,22650.301825,12287.418637,-67416.403824
206.754688,-18209.066173,-18653.189738,-93616.869856
206.757262,11991.336260,21465.972318,-76303.111601
206.759835,-18209.066173,23686.590144,-74004.825107
206.762408,7846.182985,-4441.235652,-80286.808190
206.764981,6957.935855,1924.535449,-86415.572174
206.767555,-15100.201217,19541.436869,-72932.291410
206.770128,5477.523971,15988.448347,-72472.634111
206.772701,-8290.306550,2220.617826,-85802.695776
206.775274,12583.501014,7105.977043,-73545.167808
206.777848,-12731.542202,7402.059420,-73851.606007
206.780421,740.205942,12435.459826,-79367.493593
206.782994,-3552.988522,2960.823768,-86262.353075
206.785567,-2516.700203,8882.471304,-75996.673402
