#time,accel_x,accel_y,accel_z
77.201729,1480.411884,5181.441594,-78907.836294
77.204292,1924.535449,4737.318029,-78601.398095
77.206855,1628.453072,4885.359217,-78448.178995
77.209418,888.247130,4589.276840,-78601.398095
77.211981,888.247130,5033.400406,-78141.740796
77.214544,1480.411884,4737.318029,-78294.959896
77.217107,1480.411884,4441.235652,-79367.493593
77.219670,1184.329507,4441.235652,-78601.398095
77.222233,888.247130,5033.400406,-79061.055394
77.224796,888.247130,4737.318029,-78294.959896
77.227359,1480.411884,4737.318029,-78754.617194
77.229921,1480.411884,5033.400406,-79061.055394
77.232484,1480.411884,4589.276840,-78601.398095
77.235047,1332.370696,4589.276840,-78754.617194
77.237610,1924.535449,4737.318029,-78907.836294
77.240173,1628.453072,4589.276840,-78448.178995
77.242736,1332.370696,4441.235652,-78601.398095
77.245299,1480.411884,4441.235652,-78907.836294
77.247862,1036.288319,4441.235652,-78294.959896
77.250425,2220.617826,5181.441594,-78601.398095
77.252988,1776.494261,4293.194464,-78907.836294
77.255551,2072.576638,5329.482782,-78907.836294
77.258114,2220.617826,4293.194464,-78907.836294
77.260676,1184.329507,4737.318029,-78754.617194
77.263239,7550.100608,7846.182985,-79061.055394
77.265802,12435.459826,10214.842000,-77222.426198
77.268365,7550.100608,11103.089130,-77375.645298
77.270928,6365.771101,10807.006753,-77988.521696
77.273485,-888.247130,5477.523971,-80440.027290
77.276042,7254.018232,9326.594869,-76915.987999
77.278599,9178.553681,9178.553681,-75843.454302
77.281156,14063.912898,14211.954086,-76303.111601
77.283713,-3256.906145,1480.411884,-80899.684589
77.286269,3552.988522,4441.235652,-77222.426198
77.288826,14508.036463,25759.166782,-75537.016103
77.291383,21465.972318,2072.576638,-80440.027290
77.293940,-3108.864956,-7402.059420,-85343.038477
77.296497,2368.659014,5921.647536,-77528.864398
77.299054,-18801.230927,-296.082377,-81512.560987
77.301611,15988.448347,16284.530724,-73085.510509
77.304168,1924.535449,-1628.453072,-80286.808190
77.306725,6809.894666,-4441.235652,-77375.645298
77.309281,-17468.860231,8882.471304,-78601.398095
77.311838,3997.112087,296.082377,-80133.589091
77.314395,5477.523971,4589.276840,-77988.521696
77.316952,3849.070898,-6809.894666,-81512.560987
77.319509,-15544.324782,888.247130,-80746.465489
77.322066,-13915.871710,7402.059420,-77835.302597
77.324623,3701.029710,1924.535449,-77835.302597
77.327180,-1184.329507,-1036.288319,-80133.589091
77.329737,2516.700203,7550.100608,-76303.111601
77.332294,2368.659014,5625.565159,-76762.768900
77.334850,2812.782580,4441.235652,-78141.740796
77.337407,1184.329507,-740.205942,-78141.740796
77.339964,-4589.276840,1036.288319,-76456.330700
77.342521,-1924.535449,1184.329507,-75230.577904
77.345078,-3997.112087,-4885.359217,-80440.027290
77.347635,1332.370696,4145.153275,-76915.987999
77.350192,8586.388927,5181.441594,-78754.617194
77.352749,-2960.823768,888.247130,-78754.617194
77.355306,-9474.636058,-444.123565,-76303.111601
77.357862,-4145.153275,-4145.153275,-78141.740796
77.360419,12879.583391,10066.800811,-80593.246390
77.362976,-10510.924376,-1480.411884,-83964.066581
77.365533,296.082377,4145.153275,-73545.167808
77.368090,-11991.336260,-1776.494261,-81972.218286
77.370647,6217.729913,444.123565,-75230.577904
77.373204,1036.288319,6217.729913,-81206.122788
77.375622,-13323.706956,-4589.276840,-79673.931792
77.378040,10955.047942,-6809.894666,-86415.572174
77.380458,-23390.507767,-16432.571912,-95915.156350
77.382876,64249.875766,51222.251186,-60674.763442
77.385293,-25759.166782,-4145.153275,-83810.847481
77.387711,24722.878463,3256.906145,-80286.808190
77.390129,13471.748144,-2812.782580,-80746.465489
77.392547,-8734.430116,27683.702231,-81665.780087
77.394965,5625.565159,13619.789333,-79827.150892
77.397383,10510.924376,-8586.388927,-84117.285680
77.399801,-11991.336260,3108.864956,-86415.572174
77.402219,27831.743419,20281.642811,-72779.072310
77.404637,-16580.613101,14359.995275,-83197.971083
77.407055,23094.425390,7846.182985,-80133.589091
77.409473,-6809.894666,9326.594869,-76762.768900
77.411891,3108.864956,3849.070898,-74158.044206
77.414309,-1332.370696,14063.912898,-78754.617194
77.416727,7994.224174,7994.224174,-81512.560987
77.419145,16284.530724,8734.430116,-74004.825107
77.421562,-3552.988522,1036.288319,-80440.027290
77.423980,2516.700203,12287.418637,-76149.892501
77.426398,-3404.947333,3404.947333,-82278.656485
77.428816,4589.276840,4293.194464,-80286.808190
77.431234,-2960.823768,5329.482782,-81359.341888
77.433652,11843.295072,13175.665768,-74617.701505
77.436070,2960.823768,11103.089130,-76609.549800
77.438488,9622.677246,9918.759623,-75537.016103
77.440906,2960.823768,8290.306550,-77682.083497
77.443324,-7402.059420,-1924.535449,-86722.010374
77.445742,5921.647536,8438.347739,-80746.465489
77.448160,4737.318029,15544.324782,-78907.836294
77.450578,12287.418637,13471.748144,-79367.493593
77.452996,-6957.935855,-6217.729913,-85955.914876
77.455414,-888.247130,9178.553681,-76609.549800
77.457831,19837.519246,17764.942608,-72472.634111
77.460249,-5181.441594,-6069.688724,-87334.886772
77.462667,30940.608376,33013.185013,-74004.825107
77.465085,-17024.736666,-13323.706956,-85955.914876
77.467503,18505.148550,11547.212695,-72166.195912
77.469921,-15988.448347,14952.160028,-84576.942979
77.472382,42487.821071,20281.642811,-68029.280222
77.474844,-67210.699534,-25315.043216,-83197.971083
77.477305,50185.962868,-7550.100608,-70634.004916
77.479766,-75056.882519,-6365.771101,-98366.661943
77.482227,51962.457128,45152.562462,-68029.280222
77.484689,-45004.521274,-13027.624579,-87794.544071
77.487150,2664.741391,-22946.384202,-76609.549800
77.489611,-25315.043216,18357.107362,-85802.695776
77.492072,1184.329507,-2664.741391,-82431.875585
77.494533,-5329.482782,13767.830521,-73698.386908
77.496995,-4441.235652,-20577.725188,-89633.173266
77.499456,6069.688724,2368.659014,-79827.150892
77.501917,-26647.413912,5477.523971,-87641.324971
77.504378,16580.613101,8142.265362,-75996.673402
77.506840,-9030.512492,4145.153275,-76456.330700
77.509301,13175.665768,-13767.830521,-82278.656485
77.511762,-17912.983796,7402.059420,-79367.493593
77.514223,-1480.411884,2812.782580,-78907.836294
77.516685,2220.617826,4589.276840,-78141.740796
77.519146,-6957.935855,-4589.276840,-80899.684589
77.521607,3404.947333,7846.182985,-75077.358804
77.524068,-2368.659014,2516.700203,-81972.218286
77.526530,-444.123565,4589.276840,-79520.712692
77.528991,-8290.306550,-3997.112087,-78754.617194
77.531452,-7846.182985,-4145.153275,-78754.617194
77.533913,3849.070898,1628.453072,-79673.931792
77.536374,444.123565,4441.235652,-79980.369991
77.538836,-1184.329507,3404.947333,-78907.836294
77.541297,-13767.830521,-4737.318029,-80133.589091
77.543758,-6365.771101,1184.329507,-79367.493593
77.546219,17764.942608,5625.565159,-75383.797003
77.548681,-9770.718434,-444.123565,-79673.931792
77.551142,-4441.235652,444.123565,-79367.493593
77.553603,-2368.659014,-444.123565,-75843.454302
77.556064,18949.272115,1332.370696,-73085.510509
77.558526,-16580.613101,3552.988522,-86568.791274
77.560987,6069.688724,1332.370696,-76149.892501
77.563448,-10510.924376,-14359.995275,-93157.212557
77.565909,-7846.182985,-8586.388927,-92391.117059
77.568371,27535.661042,49445.756926,-69408.252119
77.570863,61289.051998,29608.237680,-62973.049936
77.573355,-57439.981099,-15988.448347,-88560.639569
77.575847,38046.585419,-444.123565,-68488.937521
77.578339,-15692.365970,33161.226202,-80440.027290
77.580832,8586.388927,8586.388927,-79367.493593
77.583324,10658.965565,-12287.418637,-81665.780087
77.585816,-18801.230927,-1332.370696,-84423.723880
