#time,accel_x,accel_y,accel_z
170.580978,0.000000,555.134843,-9954.142016
170.583543,-76.570323,497.707101,-9877.571693
170.586108,708.275490,516.849682,-9743.573627
170.588673,172.283227,497.707101,-10030.712339
170.591237,267.996131,210.568389,-10088.140082
170.593802,0.000000,918.843878,-9896.714274
170.596367,267.996131,631.705166,-10068.997501
170.598932,267.996131,516.849682,-9992.427178
170.601497,-459.421939,689.132909,-9896.714274
170.604062,-191.425808,574.277424,-9992.427178
170.606626,-421.136778,267.996131,-9973.284597
170.609191,-114.855485,899.701298,-9877.571693
170.611756,-612.562586,478.564520,-10260.423309
170.614321,-1205.982590,1033.699363,-9513.862658
170.616886,-363.709035,1167.697429,-9801.001370
170.619450,-1091.127106,4019.941968,-9647.860723
170.622015,574.277424,1493.121302,-10202.995566
170.624580,535.992262,1569.691626,-9475.577496
170.627144,1493.121302,-535.992262,-9934.999435
170.629709,-2526.820666,459.421939,-9839.286531
170.632273,57.427742,38.285162,-9686.145885
170.634837,823.130974,-995.414202,-9533.005238
170.637402,2316.252277,-1244.267752,-10834.700733
170.639966,-689.132909,1512.263883,-9820.143950
170.642530,-325.423874,689.132909,-9265.009107
170.645095,1493.121302,-1091.127106,-10068.997501
170.647659,957.129040,-421.136778,-10547.562021
170.650223,267.996131,1167.697429,-9934.999435
170.652788,172.283227,2009.970984,-9743.573627
170.655352,918.843878,-669.990328,-10643.274925
170.657916,1225.125171,-1225.125171,-10164.710405
170.660480,689.132909,976.271621,-9418.149754
170.663045,19.142581,1071.984525,-9973.284597
170.665609,1052.841944,248.853550,-10164.710405
170.668173,401.994197,248.853550,-9915.856854
170.670738,-516.849682,535.992262,-9896.714274
170.673302,325.423874,1205.982590,-9820.143950
170.675866,38.285162,-57.427742,-9934.999435
170.678431,650.847747,899.701298,-9341.579430
170.680995,497.707101,229.710970,-10183.852986
170.683559,1493.121302,-248.853550,-10049.854920
170.686124,1493.121302,-325.423874,-10183.852986
170.688688,574.277424,133.998066,-10317.851051
170.691252,191.425808,459.421939,-9820.143950
170.693817,-612.562586,76.570323,-9494.720077
